Episode: 40 | Desired Rewards: -28.25 | Mean_100_Rewards: -151.56 | Loss: 1.37 | ewma_T: 101 | ewma_G: -34.06length of rollout buffer: 4020
Episode: 41 | Desired Rewards: -15.92 | Mean_100_Rewards: -151.60 | Loss: 1.37 | ewma_T: 104 | ewma_G: -26.70length of rollout buffer: 4050
Episode: 42 | Desired Rewards: -26.06 | Mean_100_Rewards: -150.30 | Loss: 1.37 | ewma_T: 93 | ewma_G: -24.99length of rollout buffer: 4009
Episode: 43 | Desired Rewards: -33.70 | Mean_100_Rewards: -149.23 | Loss: 1.37 | ewma_T: 96 | ewma_G: -26.08length of rollout buffer: 4042
Episode: 44 | Desired Rewards: -21.29 | Mean_100_Rewards: -147.87 | Loss: 1.37 | ewma_T: 95 | ewma_G: -23.70length of rollout buffer: 4042
Episode: 45 | Desired Rewards: -16.20 | Mean_100_Rewards: -147.58 | Loss: 1.37 | ewma_T: 98 | ewma_G: -23.65length of rollout buffer: 4037
Episode: 46 | Desired Rewards: -25.61 | Mean_100_Rewards: -146.69 | Loss: 1.37 | ewma_T: 96 | ewma_G: -23.63length of rollout buffer: 4103
Episode: 47 | Desired Rewards: -12.74 | Mean_100_Rewards: -145.21 | Loss: 1.37 | ewma_T: 103 | ewma_G: -22.63length of rollout buffer: 4066
Episode: 48 | Desired Rewards: -15.11 | Mean_100_Rewards: -144.00 | Loss: 1.37 | ewma_T: 97 | ewma_G: -24.20length of rollout buffer: 4030
Episode: 49 | Desired Rewards: -14.09 | Mean_100_Rewards: -143.52 | Loss: 1.37 | ewma_T: 105 | ewma_G: -25.11length of rollout buffer: 4031
Episode: 50 | Desired Rewards: -17.13 | Mean_100_Rewards: -141.86 | Loss: 1.37 | ewma_T: 104 | ewma_G: -21.85length of rollout buffer: 4144
Episode: 51 | Desired Rewards: -10.74 | Mean_100_Rewards: -140.87 | Loss: 1.37 | ewma_T: 97 | ewma_G: -23.56length of rollout buffer: 4043
Episode: 52 | Desired Rewards: -11.09 | Mean_100_Rewards: -140.63 | Loss: 1.37 | ewma_T: 95 | ewma_G: -19.83length of rollout buffer: 4061
Episode: 53 | Desired Rewards: -19.68 | Mean_100_Rewards: -141.18 | Loss: 1.37 | ewma_T: 103 | ewma_G: -21.53length of rollout buffer: 4063
Episode: 54 | Desired Rewards: -11.15 | Mean_100_Rewards: -141.52 | Loss: 1.37 | ewma_T: 100 | ewma_G: -24.91length of rollout buffer: 4012
Episode: 55 | Desired Rewards: -23.26 | Mean_100_Rewards: -140.86 | Loss: 1.37 | ewma_T: 95 | ewma_G: -20.49length of rollout buffer: 4024
Episode: 56 | Desired Rewards: -19.27 | Mean_100_Rewards: -140.38 | Loss: 1.37 | ewma_T: 98 | ewma_G: -23.23length of rollout buffer: 4036
Episode: 57 | Desired Rewards: -13.93 | Mean_100_Rewards: -139.92 | Loss: 1.37 | ewma_T: 102 | ewma_G: -23.65length of rollout buffer: 4099
Episode: 58 | Desired Rewards: -20.25 | Mean_100_Rewards: -139.70 | Loss: 1.37 | ewma_T: 98 | ewma_G: -25.74length of rollout buffer: 4038
Episode: 59 | Desired Rewards: -13.46 | Mean_100_Rewards: -139.78 | Loss: 1.37 | ewma_T: 93 | ewma_G: -22.93length of rollout buffer: 4003
Episode: 60 | Desired Rewards: -10.96 | Mean_100_Rewards: -138.59 | Loss: 1.37 | ewma_T: 97 | ewma_G: -24.00length of rollout buffer: 4030
Episode: 61 | Desired Rewards: -10.58 | Mean_100_Rewards: -137.65 | Loss: 1.37 | ewma_T: 94 | ewma_G: -24.83length of rollout buffer: 4063
Episode: 62 | Desired Rewards: -14.16 | Mean_100_Rewards: -137.41 | Loss: 1.37 | ewma_T: 98 | ewma_G: -26.89length of rollout buffer: 4044
Episode: 63 | Desired Rewards: -4.72 | Mean_100_Rewards: -136.45 | Loss: 1.37 | ewma_T: 97 | ewma_G: -22.99length of rollout buffer: 4123
Episode: 64 | Desired Rewards: -16.25 | Mean_100_Rewards: -136.83 | Loss: 1.37 | ewma_T: 94 | ewma_G: -25.25length of rollout buffer: 4053
Episode: 65 | Desired Rewards: -5.55 | Mean_100_Rewards: -136.68 | Loss: 1.37 | ewma_T: 102 | ewma_G: -25.20length of rollout buffer: 4034
Episode: 66 | Desired Rewards: -21.48 | Mean_100_Rewards: -136.50 | Loss: 1.37 | ewma_T: 98 | ewma_G: -25.70length of rollout buffer: 4061
Episode: 67 | Desired Rewards: -40.83 | Mean_100_Rewards: -136.08 | Loss: 1.37 | ewma_T: 96 | ewma_G: -23.19length of rollout buffer: 4042
Episode: 68 | Desired Rewards: -22.69 | Mean_100_Rewards: -135.22 | Loss: 1.37 | ewma_T: 101 | ewma_G: -24.43length of rollout buffer: 4051
Episode: 69 | Desired Rewards: -20.98 | Mean_100_Rewards: -133.97 | Loss: 1.37 | ewma_T: 110 | ewma_G: -29.81length of rollout buffer: 4067
Episode: 70 | Desired Rewards: -6.17 | Mean_100_Rewards: -133.48 | Loss: 1.37 | ewma_T: 99 | ewma_G: -22.58length of rollout buffer: 4055
Episode: 71 | Desired Rewards: -13.96 | Mean_100_Rewards: -132.75 | Loss: 1.37 | ewma_T: 100 | ewma_G: -22.13length of rollout buffer: 4035
Episode: 72 | Desired Rewards: -14.18 | Mean_100_Rewards: -133.76 | Loss: 1.37 | ewma_T: 97 | ewma_G: -23.09length of rollout buffer: 4067
Episode: 73 | Desired Rewards: -18.14 | Mean_100_Rewards: -133.21 | Loss: 1.37 | ewma_T: 91 | ewma_G: -20.20length of rollout buffer: 4079
Episode: 74 | Desired Rewards: -17.76 | Mean_100_Rewards: -133.62 | Loss: 1.37 | ewma_T: 102 | ewma_G: -25.18length of rollout buffer: 4015
Episode: 75 | Desired Rewards: -21.28 | Mean_100_Rewards: -132.51 | Loss: 1.37 | ewma_T: 97 | ewma_G: -24.50length of rollout buffer: 4093
Episode: 76 | Desired Rewards: -21.31 | Mean_100_Rewards: -132.46 | Loss: 1.37 | ewma_T: 93 | ewma_G: -21.45length of rollout buffer: 4034
Episode: 77 | Desired Rewards: -16.11 | Mean_100_Rewards: -131.93 | Loss: 1.37 | ewma_T: 95 | ewma_G: -24.06length of rollout buffer: 4106
Episode: 78 | Desired Rewards: -22.00 | Mean_100_Rewards: -132.02 | Loss: 1.37 | ewma_T: 99 | ewma_G: -22.99length of rollout buffer: 4062
Episode: 79 | Desired Rewards: -36.84 | Mean_100_Rewards: -135.29 | Loss: 1.37 | ewma_T: 96 | ewma_G: -26.95length of rollout buffer: 4028
Episode: 80 | Desired Rewards: -12.65 | Mean_100_Rewards: -136.12 | Loss: 1.37 | ewma_T: 97 | ewma_G: -26.68length of rollout buffer: 4106
Episode: 81 | Desired Rewards: -17.05 | Mean_100_Rewards: -135.44 | Loss: 1.37 | ewma_T: 96 | ewma_G: -23.29length of rollout buffer: 4052
Episode: 82 | Desired Rewards: -21.14 | Mean_100_Rewards: -135.24 | Loss: 1.37 | ewma_T: 106 | ewma_G: -20.72length of rollout buffer: 4076
Episode: 83 | Desired Rewards: -22.38 | Mean_100_Rewards: -134.38 | Loss: 1.37 | ewma_T: 95 | ewma_G: -20.94length of rollout buffer: 4004
Episode: 84 | Desired Rewards: -12.61 | Mean_100_Rewards: -133.89 | Loss: 1.37 | ewma_T: 102 | ewma_G: -23.73length of rollout buffer: 4033
Episode: 85 | Desired Rewards: -18.29 | Mean_100_Rewards: -134.02 | Loss: 1.37 | ewma_T: 94 | ewma_G: -23.09length of rollout buffer: 4086
Episode: 86 | Desired Rewards: -17.25 | Mean_100_Rewards: -133.49 | Loss: 1.37 | ewma_T: 96 | ewma_G: -26.52length of rollout buffer: 4000
Episode: 87 | Desired Rewards: -14.90 | Mean_100_Rewards: -135.52 | Loss: 1.37 | ewma_T: 91 | ewma_G: -27.89length of rollout buffer: 4037
Episode: 88 | Desired Rewards: -13.92 | Mean_100_Rewards: -134.79 | Loss: 1.37 | ewma_T: 100 | ewma_G: -22.17length of rollout buffer: 4071
Episode: 89 | Desired Rewards: -22.60 | Mean_100_Rewards: -134.94 | Loss: 1.37 | ewma_T: 89 | ewma_G: -25.65length of rollout buffer: 4102
Episode: 90 | Desired Rewards: -17.40 | Mean_100_Rewards: -134.68 | Loss: 1.37 | ewma_T: 109 | ewma_G: -25.23length of rollout buffer: 4101
Episode: 91 | Desired Rewards: -11.05 | Mean_100_Rewards: -134.39 | Loss: 1.37 | ewma_T: 92 | ewma_G: -25.63length of rollout buffer: 4043
Episode: 92 | Desired Rewards: -12.35 | Mean_100_Rewards: -133.45 | Loss: 1.37 | ewma_T: 97 | ewma_G: -22.59length of rollout buffer: 4084
Episode: 93 | Desired Rewards: -18.81 | Mean_100_Rewards: -133.63 | Loss: 1.37 | ewma_T: 127 | ewma_G: -19.49length of rollout buffer: 4066
Episode: 94 | Desired Rewards: -21.24 | Mean_100_Rewards: -133.02 | Loss: 1.37 | ewma_T: 99 | ewma_G: -18.22length of rollout buffer: 4071
Episode: 95 | Desired Rewards: -18.38 | Mean_100_Rewards: -132.78 | Loss: 1.37 | ewma_T: 98 | ewma_G: -20.76length of rollout buffer: 4094
Episode: 96 | Desired Rewards: -15.97 | Mean_100_Rewards: -132.98 | Loss: 1.37 | ewma_T: 91 | ewma_G: -25.24length of rollout buffer: 4047
Episode: 97 | Desired Rewards: -4.74 | Mean_100_Rewards: -131.89 | Loss: 1.37 | ewma_T: 106 | ewma_G: -21.96length of rollout buffer: 4032
Episode: 98 | Desired Rewards: -14.02 | Mean_100_Rewards: -131.71 | Loss: 1.37 | ewma_T: 106 | ewma_G: -21.17length of rollout buffer: 4060
Episode: 99 | Desired Rewards: -5.73 | Mean_100_Rewards: -131.52 | Loss: 1.37 | ewma_T: 105 | ewma_G: -21.38length of rollout buffer: 4058
Episode: 100 | Desired Rewards: -2.57 | Mean_100_Rewards: -131.01 | Loss: 1.37 | ewma_T: 87 | ewma_G: -21.35
length of rollout buffer: 4121
Episode: 101 | Desired Rewards: -0.38 | Mean_100_Rewards: -131.19 | Loss: 1.37 | ewma_T: 100 | ewma_G: -23.15length of rollout buffer: 4001
Episode: 102 | Desired Rewards: -14.32 | Mean_100_Rewards: -129.39 | Loss: 1.37 | ewma_T: 101 | ewma_G: -18.97length of rollout buffer: 4044
Episode: 103 | Desired Rewards: -17.25 | Mean_100_Rewards: -128.54 | Loss: 1.37 | ewma_T: 93 | ewma_G: -22.34length of rollout buffer: 4086
Episode: 104 | Desired Rewards: -14.67 | Mean_100_Rewards: -125.22 | Loss: 1.37 | ewma_T: 96 | ewma_G: -20.20length of rollout buffer: 4107
Episode: 105 | Desired Rewards: -12.13 | Mean_100_Rewards: -123.85 | Loss: 1.37 | ewma_T: 101 | ewma_G: -24.24length of rollout buffer: 4008
Episode: 106 | Desired Rewards: -9.99 | Mean_100_Rewards: -123.02 | Loss: 1.37 | ewma_T: 92 | ewma_G: -20.11length of rollout buffer: 4014
Episode: 107 | Desired Rewards: -18.12 | Mean_100_Rewards: -123.09 | Loss: 1.37 | ewma_T: 99 | ewma_G: -20.64length of rollout buffer: 4041
Episode: 108 | Desired Rewards: -23.84 | Mean_100_Rewards: -123.24 | Loss: 1.37 | ewma_T: 97 | ewma_G: -21.28length of rollout buffer: 4068
Episode: 109 | Desired Rewards: -14.50 | Mean_100_Rewards: -122.90 | Loss: 1.37 | ewma_T: 94 | ewma_G: -19.93length of rollout buffer: 4081
Episode: 110 | Desired Rewards: -24.42 | Mean_100_Rewards: -121.32 | Loss: 1.37 | ewma_T: 101 | ewma_G: -21.52length of rollout buffer: 4086
Episode: 111 | Desired Rewards: -17.43 | Mean_100_Rewards: -120.16 | Loss: 1.37 | ewma_T: 103 | ewma_G: -21.28length of rollout buffer: 4033
Episode: 112 | Desired Rewards: -8.94 | Mean_100_Rewards: -119.10 | Loss: 1.37 | ewma_T: 105 | ewma_G: -18.85length of rollout buffer: 4047
Episode: 113 | Desired Rewards: -25.86 | Mean_100_Rewards: -119.37 | Loss: 1.37 | ewma_T: 97 | ewma_G: -22.08length of rollout buffer: 4034
Episode: 114 | Desired Rewards: -11.05 | Mean_100_Rewards: -119.40 | Loss: 1.37 | ewma_T: 96 | ewma_G: -22.69length of rollout buffer: 4047
Episode: 115 | Desired Rewards: -16.46 | Mean_100_Rewards: -120.15 | Loss: 1.37 | ewma_T: 95 | ewma_G: -25.96length of rollout buffer: 4032
Episode: 116 | Desired Rewards: -12.15 | Mean_100_Rewards: -119.67 | Loss: 1.37 | ewma_T: 99 | ewma_G: -20.55length of rollout buffer: 4051
Episode: 117 | Desired Rewards: -13.73 | Mean_100_Rewards: -119.81 | Loss: 1.37 | ewma_T: 98 | ewma_G: -20.36length of rollout buffer: 4010
Episode: 118 | Desired Rewards: -9.40 | Mean_100_Rewards: -118.91 | Loss: 1.37 | ewma_T: 99 | ewma_G: -21.22length of rollout buffer: 4111
Episode: 119 | Desired Rewards: -12.14 | Mean_100_Rewards: -118.89 | Loss: 1.37 | ewma_T: 100 | ewma_G: -21.12length of rollout buffer: 4069
Episode: 120 | Desired Rewards: -16.81 | Mean_100_Rewards: -117.65 | Loss: 1.37 | ewma_T: 101 | ewma_G: -18.16length of rollout buffer: 4009
Episode: 121 | Desired Rewards: -10.98 | Mean_100_Rewards: -117.22 | Loss: 1.37 | ewma_T: 99 | ewma_G: -18.01length of rollout buffer: 4092
Episode: 122 | Desired Rewards: -9.07 | Mean_100_Rewards: -117.59 | Loss: 1.37 | ewma_T: 98 | ewma_G: -19.44length of rollout buffer: 4053
Episode: 123 | Desired Rewards: -23.03 | Mean_100_Rewards: -117.01 | Loss: 1.37 | ewma_T: 101 | ewma_G: -18.13length of rollout buffer: 4051
Episode: 124 | Desired Rewards: -18.59 | Mean_100_Rewards: -114.92 | Loss: 1.37 | ewma_T: 102 | ewma_G: -17.44length of rollout buffer: 4087
Episode: 125 | Desired Rewards: -13.48 | Mean_100_Rewards: -114.78 | Loss: 1.37 | ewma_T: 93 | ewma_G: -18.51length of rollout buffer: 4048
Episode: 126 | Desired Rewards: -17.91 | Mean_100_Rewards: -114.32 | Loss: 1.37 | ewma_T: 100 | ewma_G: -20.81length of rollout buffer: 4049
Episode: 127 | Desired Rewards: -4.40 | Mean_100_Rewards: -113.84 | Loss: 1.37 | ewma_T: 104 | ewma_G: -19.42length of rollout buffer: 4014
Episode: 128 | Desired Rewards: -6.61 | Mean_100_Rewards: -113.21 | Loss: 1.37 | ewma_T: 96 | ewma_G: -18.51length of rollout buffer: 4103
Episode: 129 | Desired Rewards: -0.04 | Mean_100_Rewards: -113.28 | Loss: 1.37 | ewma_T: 118 | ewma_G: -17.44length of rollout buffer: 4104
Episode: 130 | Desired Rewards: -16.67 | Mean_100_Rewards: -113.03 | Loss: 1.37 | ewma_T: 98 | ewma_G: -20.88length of rollout buffer: 4040
Episode: 131 | Desired Rewards: -19.32 | Mean_100_Rewards: -110.36 | Loss: 1.37 | ewma_T: 103 | ewma_G: -18.49length of rollout buffer: 4024
Episode: 132 | Desired Rewards: -21.37 | Mean_100_Rewards: -110.25 | Loss: 1.37 | ewma_T: 100 | ewma_G: -22.49length of rollout buffer: 4009
Episode: 133 | Desired Rewards: -21.13 | Mean_100_Rewards: -110.08 | Loss: 1.37 | ewma_T: 98 | ewma_G: -21.68length of rollout buffer: 4012
Episode: 134 | Desired Rewards: -22.57 | Mean_100_Rewards: -110.16 | Loss: 1.37 | ewma_T: 100 | ewma_G: -19.72length of rollout buffer: 4066
Episode: 135 | Desired Rewards: -6.40 | Mean_100_Rewards: -108.19 | Loss: 1.37 | ewma_T: 100 | ewma_G: -20.46length of rollout buffer: 4015
Episode: 136 | Desired Rewards: -2.59 | Mean_100_Rewards: -108.14 | Loss: 1.37 | ewma_T: 94 | ewma_G: -23.87length of rollout buffer: 4089
Episode: 137 | Desired Rewards: -28.23 | Mean_100_Rewards: -108.61 | Loss: 1.37 | ewma_T: 106 | ewma_G: -23.83length of rollout buffer: 4110
Episode: 138 | Desired Rewards: -17.40 | Mean_100_Rewards: -108.23 | Loss: 1.37 | ewma_T: 102 | ewma_G: -22.45length of rollout buffer: 4018
Episode: 139 | Desired Rewards: -19.52 | Mean_100_Rewards: -108.32 | Loss: 1.37 | ewma_T: 96 | ewma_G: -21.68length of rollout buffer: 4052
Episode: 140 | Desired Rewards: -19.77 | Mean_100_Rewards: -106.46 | Loss: 1.37 | ewma_T: 94 | ewma_G: -21.86length of rollout buffer: 4012
Episode: 141 | Desired Rewards: -21.29 | Mean_100_Rewards: -105.81 | Loss: 1.37 | ewma_T: 103 | ewma_G: -20.84length of rollout buffer: 4037
